mode,selectivity,threshold,query_idx,query,strategy,recall_at_k,completeness_at_k,n_returned,candidates,gls_rho,lat_p50_ms,lat_p95_ms
uncorrelated,0.4993837051645507,500,19,বিনিয়োগ বাজার,post_filter,0.5,0.5,5,10,-0.01979173745931786,4.208820988424122,4.7377464768942446
uncorrelated,0.4993837051645507,500,19,বিনিয়োগ বাজার,over_fetch,1.0,1.0,10,100,-0.01979173745931786,4.578812979161739,4.786693240748718
uncorrelated,0.4993837051645507,500,19,বিনিয়োগ বাজার,iterative,1.0,1.0,10,20,-0.01979173745931786,9.77359403623268,10.555304260924459
uncorrelated,0.2002136488762891,200,0,বিশ্ববিদ্যালয় ভর্তি,pre_filter,1.0,1.0,10,10,-0.11163832631478096,967.7114990190603,976.5934864932206
uncorrelated,0.2002136488762891,200,0,বিশ্ববিদ্যালয় ভর্তি,post_filter,0.3,0.3,3,10,-0.11163832631478096,4.5228469534777105,4.815930203767493
uncorrelated,0.2002136488762891,200,0,বিশ্ববিদ্যালয় ভর্তি,over_fetch,1.0,1.0,10,100,-0.11163832631478096,4.64117102092132,4.936210764572024
uncorrelated,0.2002136488762891,200,0,বিশ্ববিদ্যালয় ভর্তি,iterative,1.0,1.0,10,80,-0.11163832631478096,18.02576403133571,18.612155376467854
uncorrelated,0.2002136488762891,200,1,শিক্ষা নীতি পরিবর্তন,pre_filter,1.0,1.0,10,10,-0.026174504417520155,974.6182060334831,982.6496557041537
uncorrelated,0.2002136488762891,200,1,শিক্ষা নীতি পরিবর্তন,post_filter,0.0,0.0,0,10,-0.026174504417520155,4.3370340135879815,4.917880467837676
uncorrelated,0.2002136488762891,200,1,শিক্ষা নীতি পরিবর্তন,over_fetch,1.0,1.0,10,100,-0.026174504417520155,4.622726992238313,4.96815328951925
uncorrelated,0.2002136488762891,200,1,শিক্ষা নীতি পরিবর্তন,iterative,1.0,1.0,10,80,-0.026174504417520155,18.44000001437962,18.741747533204034
uncorrelated,0.2002136488762891,200,2,স্কুল শিক্ষার্থী,pre_filter,1.0,1.0,10,10,-0.1769877518881801,1018.5519619844854,1035.5252807028592
uncorrelated,0.2002136488762891,200,2,স্কুল শিক্ষার্থী,post_filter,0.1,0.1,1,10,-0.1769877518881801,4.504851996898651,5.099999497178942
uncorrelated,0.2002136488762891,200,2,স্কুল শিক্ষার্থী,over_fetch,0.9,1.0,10,100,-0.1769877518881801,4.806805984117091,5.136813456192613
uncorrelated,0.2002136488762891,200,2,স্কুল শিক্ষার্থী,iterative,0.9,1.0,10,80,-0.1769877518881801,19.8652419494465,20.051869633607566
uncorrelated,0.2002136488762891,200,3,পরীক্ষার ফলাফল,pre_filter,1.0,1.0,10,10,0.0692361834672432,995.4140220070258,1082.0568816445302
uncorrelated,0.2002136488762891,200,3,পরীক্ষার ফলাফল,post_filter,0.3,0.3,3,10,0.0692361834672432,4.508200043346733,5.023770435946062
uncorrelated,0.2002136488762891,200,3,পরীক্ষার ফলাফল,over_fetch,1.0,1.0,10,100,0.0692361834672432,4.936811979860067,5.070914677344263
uncorrelated,0.2002136488762891,200,3,পরীক্ষার ফলাফল,iterative,1.0,1.0,10,40,0.0692361834672432,15.809420961886644,15.950448263902217
uncorrelated,0.2002136488762891,200,4,নির্বাচন কমিশন,pre_filter,1.0,1.0,10,10,0.04708640753726689,972.7918300195597,1061.7644296376966
uncorrelated,0.2002136488762891,200,4,নির্বাচন কমিশন,post_filter,0.0,0.0,0,10,0.04708640753726689,4.407368018291891,4.988529474940151
uncorrelated,0.2002136488762891,200,4,নির্বাচন কমিশন,over_fetch,0.9,1.0,10,100,0.04708640753726689,4.588130977936089,5.089436419075355
